Name,Postcode,Latitude,Longitude
School_3924,WD23 4EB,51.64107642,-0.33434618
School_1484,WD23 2AW,51.66562164,-0.375120096
School_2881,WD23 2TY,51.65849605,-0.369013394
School_3395,WD23 2TS,51.66035078,-0.367240743
School_3497,WD23 2QG,51.65455963,-0.375009726
School_3861,WD23 2TS,51.66035078,-0.367240743
School_1485,WD23 1ST,51.63798382,-0.355442947
School_1553,WD23 1SR,51.63939244,-0.357140631
School_3484,WD23 1DT,51.63839871,-0.361960084
School_3486,WD23 3DA,51.64191925,-0.358422233
School_3915,WD23 1DT,51.63839871,-0.361960084
School_1524,WD23 2QL,51.64710465,-0.37563788
School_1533,WD23 3AX,51.64937038,-0.362026864
School_1568,WD23 1SU,51.64409253,-0.371120527
School_1996,WD23 3PR,51.64723488,-0.355931892
School_2676,WD23 3AT,51.64692093,-0.368229345
School_2777,WD23 3AA,51.6462741,-0.369567927
School_2983,WD23 4PA,51.64872939,-0.349011806
School_174,N1 0WF,51.53564403,-0.11860911
School_184,N7 9QJ,51.54474959,-0.121723574
School_187,N1 9AZ,51.5323523,-0.118023969
School_205,N1 0LB,51.53818748,-0.114596308
School_208,N1 0UF,51.53647775,-0.119007305
